what,kind,bundleId,bundleVersion,description,time
started,bundle,org.eclipse.wst.xsl.debug.ui,1.0.200.v201101281837,"org.eclipse.wst.xsl.debug.ui",1357837578178
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1357837579967
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1357837595593
activated,editor,org.eclipse.jdt.ui,3.7.0.v20110531-1200,"org.eclipse.jdt.ui.CompilationUnitEditor",1357837597322
executed,command,org.eclipse.ui.workbench.texteditor,3.7.0.v20110505-0800,"org.eclipse.ui.edit.text.delete.line",1357837598882
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.file.save",1357837600620
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1357837602556
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1357837672323
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.paste",1357837681308
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1357837687057
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1357837687127
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1357837689784
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1357837690732
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1357837692247
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1357837703454
executed,command,org.eclipse.ui.workbench.texteditor,3.7.0.v20110505-0800,"org.eclipse.ui.edit.text.delete.line",1357837706844
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1357837708663
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1357837846563
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.undo",1357837850062
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1357837854604
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1357837857172
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.cut",1357837866116
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.file.save",1357837868013
activated,editor,org.eclipse.jdt.ui,3.7.0.v20110531-1200,"org.eclipse.jdt.ui.CompilationUnitEditor",1357837869713
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.paste",1357837882476
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1357837951467
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1357837953787
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1357837962547
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1357837963432
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1357837965014
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1357837998958
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.cut",1357838002510
activated,editor,org.eclipse.jdt.ui,3.7.0.v20110531-1200,"org.eclipse.jdt.ui.CompilationUnitEditor",1357838004741
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.paste",1357838016248
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.delete",1357838024038
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1357838037579
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1357838038350
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1357838039808
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1357838048007
executed,command,org.eclipse.ui.workbench.texteditor,3.7.0.v20110505-0800,"org.eclipse.ui.edit.text.delete.line",1357838050585
